"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage","Special Export Value"
"b67432ae-2bbb-42b2-8414-bec45135ca66","630899","G-force - Max & Avg - 630899","05/17/2022 12:02 AM","0.059","X Max: 0.059 g , Y Max: 0.866 g , Z Max: 0.463 g , Magnitude Max: 0.975 g , X Avg: 0.05 g , Y Avg: 0.855 g , Z Avg: 0.442 g , Magnitude Mean: 0.964 g","100","0.059|0.866|0.463|0.975|0.05|0.855|0.442|0.964|0","0","971850","False","0","2.99"
"5d060b22-36d2-4c7f-9ec4-b4f8cf85d5cd","630899","G-force - Max & Avg - 630899","05/17/2022 12:12 AM","0.16","X Max: 0.16 g , Y Max: 0.946 g , Z Max: 0.554 g , Magnitude Max: 1.044 g , X Avg: 0.03 g , Y Avg: 0.843 g , Z Avg: 0.462 g , Magnitude Mean: 0.961 g","100","0.16|0.946|0.554|1.044|0.03|0.843|0.462|0.961|0","0","971850","False","0","2.99"
"03ad74ec-6535-422f-a30a-c89a9db45831","630899","G-force - Max & Avg - 630899","05/17/2022 12:22 AM","0.04","X Max: 0.04 g , Y Max: 0.85 g , Z Max: 0.475 g , Magnitude Max: 0.97 g , X Avg: 0.031 g , Y Avg: 0.842 g , Z Avg: 0.464 g , Magnitude Mean: 0.961 g","100","0.04|0.85|0.475|0.97|0.031|0.842|0.464|0.961|0","0","971850","False","0","2.99"
"423ccdd5-431a-4864-8831-288babf3cb00","630899","G-force - Max & Avg - 630899","05/17/2022 12:32 AM","0.039","X Max: 0.039 g , Y Max: 0.85 g , Z Max: 0.477 g , Magnitude Max: 0.972 g , X Avg: 0.031 g , Y Avg: 0.842 g , Z Avg: 0.465 g , Magnitude Mean: 0.961 g","100","0.039|0.85|0.477|0.972|0.031|0.842|0.465|0.961|0","0","971850","False","0","2.96"
"43fd6d3f-bd1d-4415-a6d6-9ac83a250228","630899","G-force - Max & Avg - 630899","05/17/2022 12:41 AM","0.658","X Max: 0.658 g , Y Max: 1.904 g , Z Max: 0.792 g , Magnitude Max: 2.123 g , X Avg: 0.035 g , Y Avg: 0.856 g , Z Avg: 0.436 g , Magnitude Mean: 0.963 g","100","0.658|1.904|0.792|2.123|0.035|0.856|0.436|0.963|2","2","971850","True","0","2.96"
"a672e083-d242-4046-b3c8-3cf1269c33ef","630899","G-force - Max & Avg - 630899","05/17/2022 12:41 AM","0.904","X Max: 0.904 g , Y Max: 2.108 g , Z Max: 1.962 g , Magnitude Max: 2.958 g , X Avg: 0.12 g , Y Avg: 0.897 g , Z Avg: 0.368 g , Magnitude Mean: 0.985 g","100","0.904|2.108|1.962|2.958|0.12|0.897|0.368|0.985|2","2","971850","True","0","2.96"
"393bf4a5-886e-49c8-96c5-9165385a4432","630899","G-force - Max & Avg - 630899","05/17/2022 12:42 AM","2.298","X Max: 2.298 g , Y Max: 3.996 g , Z Max: 1.554 g , Magnitude Max: 4.813 g , X Avg: 0.068 g , Y Avg: 0.897 g , Z Avg: 0.355 g , Magnitude Mean: 0.97 g","100","2.298|3.996|1.554|4.813|0.068|0.897|0.355|0.97|2","2","971850","True","0","2.96"
"3a9d6379-8e67-40be-ba63-d02952bfa43c","630899","G-force - Max & Avg - 630899","05/17/2022 12:52 AM","0.078","X Max: 0.078 g , Y Max: 0.948 g , Z Max: 0.43 g , Magnitude Max: 1.016 g , X Avg: 0.04 g , Y Avg: 0.881 g , Z Avg: 0.393 g , Magnitude Mean: 0.965 g","100","0.078|0.948|0.43|1.016|0.04|0.881|0.393|0.965|0","0","971850","False","0","2.97"
"4c76663e-6316-400d-9252-fd86c31a018e","630899","G-force - Max & Avg - 630899","05/17/2022 1:02 AM","0.047","X Max: 0.047 g , Y Max: 0.889 g , Z Max: 0.402 g , Magnitude Max: 0.974 g , X Avg: 0.04 g , Y Avg: 0.881 g , Z Avg: 0.393 g , Magnitude Mean: 0.965 g","100","0.047|0.889|0.402|0.974|0.04|0.881|0.393|0.965|0","0","971850","False","0","2.97"
"97fd3f58-38d4-49c9-b0f4-b690ac76ae4d","630899","G-force - Max & Avg - 630899","05/17/2022 1:12 AM","0.049","X Max: 0.049 g , Y Max: 0.889 g , Z Max: 0.403 g , Magnitude Max: 0.974 g , X Avg: 0.04 g , Y Avg: 0.881 g , Z Avg: 0.393 g , Magnitude Mean: 0.965 g","100","0.049|0.889|0.403|0.974|0.04|0.881|0.393|0.965|0","0","971850","False","0","2.97"
